id,symbol,made_at,target_at,now_price,sigma_h,quantile,call_value,kalshi_strike,kalshi_no_at_strike,kalshi_no_at_call,model_no_at_strike,edge_pp,actual_price,won,settled_at,made_at_iso,target_at_iso,settled_at_iso
608,BTCUSDT,1781791221.7189257,1781794800.0,64000.01,0.0058273545479862335,0.7,64150.14768767937,64199.99,0.86,0.7877286471350861,0.7544398315708065,-10.556016842919346,,,,2026-06-18T10:00:21,2026-06-18T11:00:00,
607,BTCUSDT,1781787614.8346705,1781791200.0,64372.01,0.0030822190601454812,0.7,64451.8386988098,64499.99,0.8049999999999999,0.7375881783337216,0.7931573646093136,-1.1842635390686307,63983.99,1,1781791216.3214793,2026-06-18T09:00:14,2026-06-18T10:00:00,2026-06-18T10:00:16
606,BTCUSDT,1781784025.380654,1781787600.0,63968.01,0.0036272305775309314,0.7,64061.37499550395,64099.99,0.755,0.7048004941551416,0.7666653309819499,1.1665330981949884,64378.06,0,1781787609.350233,2026-06-18T08:00:25,2026-06-18T09:00:00,2026-06-18T09:00:09
605,BTCUSDT,1781780414.2209344,1781784000.0,64082.0,0.003946332983426366,0.7,64183.76624041477,64199.99,1.0,1.0,0.727113525956163,-27.288647404383703,63974.4,1,1781784019.9188032,2026-06-18T07:00:14,2026-06-18T08:00:00,2026-06-18T08:00:19
604,BTCUSDT,1781776809.8226476,1781780400.0,64199.53,0.0026696858158411635,0.7,64268.48320454321,64299.99,0.525,0.525,0.7729644846722734,24.79644846722734,64078.61,1,1781780408.7311902,2026-06-18T06:00:09,2026-06-18T07:00:00,2026-06-18T07:00:08
603,BTCUSDT,1781773226.9325814,1781776800.0,64372.01,0.0028790023060547083,0.7,64446.57238895333,64399.99,1.0,1.0,0.5792988934388071,-42.07011065611928,64199.53,1,1781776803.7705681,2026-06-18T05:00:26,2026-06-18T06:00:00,2026-06-18T06:00:03
602,BTCUSDT,1781769631.725476,1781773200.0,64457.79,0.003066508657717612,0.7,64537.31738694782,,,,,,64399.93,1,1781773221.4964972,2026-06-18T04:00:31,2026-06-18T05:00:00,2026-06-18T05:00:21
601,BTCUSDT,1781766003.7199423,1781769600.0,64096.22,0.0027576161166211247,0.7,64167.33092985189,,,,,,64510.45,0,1781769626.2078712,2026-06-18T03:00:03,2026-06-18T04:00:00,2026-06-18T04:00:26
600,BTCUSDT,1781762427.584355,1781766000.0,63963.47,0.003989751728942924,0.7,64066.16649589607,,,,,,64084.0,0,1781766035.2145395,2026-06-18T02:00:27,2026-06-18T03:00:00,2026-06-18T03:00:35
599,BTCUSDT,1781758819.3535254,1781762400.0,63899.34,0.0048053144310177395,0.7,64022.92539547256,,,,,,63994.0,1,1781762422.1823814,2026-06-18T01:00:19,2026-06-18T02:00:00,2026-06-18T02:00:22
598,BTCUSDT,1781755210.0589204,1781758800.0,64286.06,0.0030839227063597157,0.7,64365.82620334136,64399.99,0.7949999999999999,0.7420461151791158,0.7688216869017448,-2.6178313098255135,63883.26,1,1781758813.8567655,2026-06-18T00:00:10,2026-06-18T01:00:00,2026-06-18T01:00:13
597,BTCUSDT,1781751600.6494865,1781755200.0,64680.21,0.0025146194101020257,0.7,64745.64236152163,64699.99,1.0,1.0,0.5640913506319056,-43.59086493680944,64282.82,1,1781755201.7278612,2026-06-17T23:00:00,2026-06-18T00:00:00,2026-06-18T00:00:01
596,BTCUSDT,1781748011.482795,1781751600.0,64573.99,0.0031230253675296545,0.7,64655.130032311536,64699.99,1.0,1.0,0.786380539017022,-21.3619460982978,64689.5,0,1781751631.1626048,2026-06-17T22:00:11,2026-06-17T23:00:00,2026-06-17T23:00:31
595,BTCUSDT,1781744426.1539586,1781748000.0,64499.99,0.003075535024746625,0.7,64579.8038424463,64599.99,0.8,0.7687114557917699,0.742204609833136,-5.7795390166864085,64548.75,1,1781748005.972629,2026-06-17T21:00:26,2026-06-17T22:00:00,2026-06-17T22:00:05
594,BTCUSDT,1781740817.1269205,1781744400.0,64493.99,0.0031912627456019524,0.7,64576.80133956816,64599.99,0.76,0.7240575763306555,0.7464606676528514,-1.3539332347148658,64468.01,1,1781744420.7185514,2026-06-17T20:00:17,2026-06-17T21:00:00,2026-06-17T21:00:20
593,BTCUSDT,1781737204.226552,1781740800.0,64300.0,0.004228828735711654,0.7,64409.42830896882,64399.99,0.715,0.7249102244172609,0.6846275813703375,-3.0372418629662445,64509.4,0,1781740810.5163836,2026-06-17T19:00:04,2026-06-17T20:00:00,2026-06-17T20:00:10
592,BTCUSDT,1781733612.561589,1781737200.0,64236.01,0.004017810668677831,0.7,64339.8699748045,64299.99,0.635,0.6768739735447233,0.6281468347826138,-0.6853165217386215,64300.01,1,1781737229.0037365,2026-06-17T18:00:12,2026-06-17T19:00:00,2026-06-17T19:00:29
591,BTCUSDT,1781730027.7299235,1781733600.0,64404.23,0.005935243710166766,0.7,64558.11653164491,64599.99,0.8,0.7602202050626679,0.7451934102206148,-5.480658977938524,64257.77,1,1781733606.964089,2026-06-17T17:00:27,2026-06-17T18:00:00,2026-06-17T18:00:06
590,BTCUSDT,1781726419.6669428,1781730000.0,64225.69,0.00995861206182227,0.7,64483.38544346874,64499.99,0.73,0.7150558991218663,0.7111522431889956,-1.8847756811004368,64434.36,1,1781730022.1891625,2026-06-17T16:00:19,2026-06-17T17:00:00,2026-06-17T17:00:22
589,BTCUSDT,1781722800.0359821,1781726400.0,65516.0,0.01322410308479953,0.7,65865.29960188613,65899.99,1.0,1.0,0.7170599113649296,-28.294008863507038,64301.85,1,1781726414.1595926,2026-06-17T15:00:00,2026-06-17T16:00:00,2026-06-17T16:00:14
