date,ticker,bin_lo,bin_hi,bin_label,side,our_p,kalshi_p,edge_pp,entry_price,contracts,won,pnl,ext_diff_at_entry,models_spread_at_entry,our_pred_at_entry
2026-04-21,RH_below_91,-inf,91.0,91° or below,yes,0.42147117296222664,0.050000000000000044,37.14711729622266,0.050000000000000044,199.99999999999983,0,-10.0,,,
2026-04-21,UHPHX_042126_91,92.0,92.0,92°,yes,0.15904572564612326,0.02499999999999991,13.404572564612335,0.02499999999999991,400.0000000000014,0,-10.0,,,
2026-04-21,UHPHX_042126_92,93.0,93.0,93°,yes,0.3558648111332008,0.11499999999999999,24.08648111332008,0.11499999999999999,86.95652173913044,0,-10.0,,,
2026-04-21,UHPHX_042126_93,94.0,94.0,94°,no,0.03180914512922465,0.2250000000000001,-19.319085487077544,0.7749999999999999,12.903225806451614,1,2.903225806451614,,,
2026-04-21,UHPHX_042126_94,95.0,95.0,95°,no,0.03180914512922465,0.43999999999999995,-40.81908548707753,0.56,17.857142857142854,0,-10.0,,,
2026-04-21,UHPHX_042126_95,96.0,96.0,96°,no,0.0,0.08499999999999999,-8.5,0.915,10.92896174863388,1,0.9289617486338795,,,
2026-04-22,RH_below_83,-inf,83.0,83° or below,yes,0.23446893787575152,0.050000000000000044,18.446893787575146,0.050000000000000044,199.99999999999983,0,-10.0,,,
2026-04-22,UHPHX_042226_84,85.0,85.0,85°,yes,0.6913827655310621,0.014999999999999902,67.63827655310622,0.014999999999999902,666.6666666666711,0,-10.0,,,
2026-04-22,UHPHX_042226_86,87.0,87.0,87°,no,0.0,0.2849999999999999,-28.499999999999993,0.7150000000000001,13.986013986013985,0,-10.0,,,
2026-04-22,UHPHX_042226_87,88.0,88.0,88°,no,0.0,0.19500000000000006,-19.500000000000007,0.8049999999999999,12.422360248447205,1,2.4223602484472053,,,
2026-04-22,UHPHX_042226_88,89.0,89.0,89°,no,0.0,0.225,-22.5,0.775,12.903225806451612,1,2.903225806451612,,,
2026-04-22,UHPHX_042226_89,90.0,90.0,90°,no,0.0,0.11,-11.0,0.89,11.235955056179774,1,1.2359550561797743,,,
2026-04-22,RH_above_91,92.0,inf,92° or above,no,0.0,0.05,-5.0,0.95,10.526315789473685,1,0.526315789473685,,,
