station_id,date,actual_max_f,our_n,our_brier,kalshi_n,kalshi_brier,winning_bin_label,our_p_winning,kalshi_p_winning,best_edge_abs,best_edge_bin_label,best_edge_our_p,best_edge_kalshi_p,best_edge_correct,computed_at,ext_med,ext_spread,ext_diff_pre,clim_pct,ext_shift_f
KLAS,2026-06-17,108.0,1098,0.16760609828068673,1098,0.009455988160291785,108° to 109°,0.41024970965570373,0.8435245901639344,0.955,106° to 107°,1.0,0.045,0,2026-06-18T07:03:09.993600,108.3,1.8999999999999915,-3.369117647058829,88.0,1.6845588235294144
KLAS,2026-06-16,109.0,882,0.04164593698423419,882,0.0213401360544222,108° to 109°,0.7968824815283341,0.7805102040816326,0.6643987975951904,106° to 107°,0.6993987975951904,0.034999999999999996,0,2026-06-17T07:03:50.260593,108.4,1.2999999999999972,-2.669117647058826,92.22222222222223,1.334558823529413
KMDW,2026-06-15,75.0,858,0.16032093461105978,858,0.15685154428904385,74° to 75°,0.38862303775130147,0.34423076923076923,0.995,82° or above,1.0,0.005,0,2026-06-16T05:05:07.359414,91.2,5.0,-0.635808466342823,96.22222222222221,0.0
KLAS,2026-06-15,107.0,6,0.21108482830724906,6,0.022204166666666667,106° to 107°,0.16633266533066132,0.715,0.576503006012024,104° to 105°,0.751503006012024,0.175,0,2026-06-17T07:03:49.819684,106.2,1.7999999999999972,-2.869117647058829,81.77777777777779,1.4345588235294144
KBOS,2026-06-14,91.0,840,0.01447252073467889,840,0.03311508928571481,91° to 92°,0.8482728654553405,0.7715714285714286,0.4618525896414343,93° to 94°,0.21314741035856574,0.675,1,2026-06-15T04:05:47.276932,91.6,1.8999999999999915,-0.16913271352945003,98.88888888888889,0.0
KMDW,2026-06-14,71.0,12,0.20249133333333336,12,0.06871666666666668,71° to 72°,0.225,0.475,0.995,77° or above,1.0,0.005,0,2026-06-16T05:05:07.002022,90.6,3.5999999999999943,-0.3358084663428116,95.11111111111111,0.0
KLAS,2026-06-14,105.0,12,0.008861850483995418,12,0.11567083333333335,104° to 105°,0.8183632734530938,0.375,0.5020958083832335,106° to 107°,0.04790419161676647,0.55,1,2026-06-17T07:03:49.090988,105.6,1.4000000000000057,-1.8691176470588147,85.55555555555556,0.6864884299307885
KPHX,2026-06-13,110.0,1104,0.2808448648055333,1104,0.15560677083333005,110° to 111°,0.0,0.3969836956521739,0.995,110° to 111°,0.0,0.995,0,2026-06-14T07:04:46.710741,106.4,5.299999999999997,-0.5679389312977179,64.22222222222223,0.0
KPHX,2026-06-12,106.0,912,0.18461941002807242,912,0.03639183114035136,105° to 106°,0.20181337261107113,0.7350328947368421,0.995,105° to 106°,0.0,0.995,0,2026-06-13T07:02:51.852682,105.8,3.8999999999999915,1.132061068702285,74.22222222222223,0.0
KLAS,2026-06-12,108.0,198,0.2342712468616239,198,0.023302525252525248,107° to 108°,0.07655183109801914,0.6890909090909091,0.8337096774193549,104° or below,0.8387096774193549,0.005,0,2026-06-17T07:03:47.982872,102.6,2.5999999999999943,2.207352941176481,92.22222222222223,-0.3903443987889349
KLAS,2026-06-11,101.0,558,0.19144690309568665,558,0.2534516129032247,101° or below,0.28431804613706346,0.10005376344086021,0.524,101° or below,0.534,0.01,1,2026-06-12T07:04:46.764453,103.2,1.8999999999999915,-2.0926470588235446,75.1111111111111,0.3100502811418787
KPHX,2026-06-11,108.0,42,0.05702872021063044,42,0.01379464285714286,107° to 108°,0.5217465241633772,0.7835714285714286,0.4446706586826348,107° to 108°,0.33532934131736525,0.78,0,2026-06-13T07:02:51.357701,106.5,3.5,-1.4000000000000057,59.333333333333336,0.0
KMDW,2026-06-11,82.0,222,0.24505607853565575,222,0.007426801801801779,85° or below,0.0022748199100904513,0.870945945945946,0.9769839679358717,85° or below,0.008016032064128256,0.985,0,2026-06-16T05:05:06.473890,,,,,
KMDW,2026-06-10,91.0,648,0.24931714752959824,648,0.03213479938271657,90° to 91°,0.17559323269457147,0.7821759259259259,0.995,90° to 91°,0.0,0.995,0,2026-06-11T12:46:27.249828,,,,,
